context,response,context_length,response_length
Me? I'm not good at that type of thing. Someone else should go.,Someone else didn't screw this up.,13,6
What are you trying to find out?,"If she's telling the truth. She claims she objectively sees reality. Weighing the good and bad in people. If that's true, I don't care how Many times her sister borrowed her scrunParke without asking, a free kidney ought to trump all the bad stuff.",7,44
"We haven't considered her blood. Clots could hit her leg, heart, kidney, and brain.",Factor 5 leiden. Easiest to treat if we're right. Start her on heparin. And ask for the thank you.,14,19
I actually know her. She's the new barista at my coffee shop. She's getting her Masters in finance.,Brains and boobs. The mother lode.,18,6
"Total moron as a barista, though. Every drink I order ends up with","Girlfriend, that means she's into you.",13,6
She said my coffee is not the only thing she'd like to put whipped cream on.,"Yeah, but is she interested?",16,5
I thought your Wilson fetish was over.,I'm putting together a second string in case things don't go well with the well-breasted barista.,7,16
You've gotta let that guy alone.,He's not supposed to be alone.,6,6
"If it's hit her brain, that could mean she doesn't have long.","So then the question becomes, will the sister show up at the funeral?",12,13
"She tried to reconcile, but the bad memories crowded out the good, and she ran.","Nobody's perfect. What else? Come on, the Woman has all the information we need. She's a bottomless diagnostic library.",15,19
"Okay, I was exaggerating. Dozens.",Do a peripheral blood smear. Look for acanthocytes. I'll be right in.,5,12
Do a peripheral blood smear. Look for acanthocytes. I'll be right in.,Remember me? Just kidding. So! jigsaw puzzles.,12,7
"Um, I find them calming.",You Ever left one unfinished?,5,5
Why are you doing that?,"More important question is, why are you?",5,7
Each brain with OCD has its own way of filtering it. Some people wash their hands and hoard TV Guides. You do puzzles and hoard memories.,So what we thought was a gift! is just you literally obsessing over your own life.,26,16
"That's why I can't stop the memories, Even when I try. But Everything else? My kidneys?","Memory was just a symptom of a symptom of a larger disease. You have McLeod syndrome. It's a rare genetic disorder that affects the nervous system, the blood. And can cause! OCD.",16,32
"It can't be cured. But your various symptoms can be Managed with medication. Best-case scenario, you can live another 20 years.","If it's any solace, Everybody dies alone. It pRobably isn't.",21,10
"Poi you and your paranoia. Now, if you'll excuse me!",I really should find a better place to store my ragweed.,10,11
"It's a very nice gesture, but it's still in the apartment.","So! I wanna hear all the dirty, dairy-specific details of your night with java the slut.",11,16
"All right. First of all, all real. Second! a true connoisseur of the dark arts of! I flaked. I walked her to her car and said good night. I will get back into it, I  you just need to give me a little more time.",I'll give you ten days.,46,5
Did you actually wake up early and hide under the bed just to scare the crap outta me?,Set an alarm and Everything.,18,5
It's like dating a ten-year-old.,"God, I hope not. Now that we're down here!",5,9
You really don't have to be here.,You're my girlfriend. I'm being supportive.,7,6
I'm mainly talking about them.,"Well, given that there's almost certainly nothing wrong with you, and my Patient definitely has something wrong with him",5,19
Get them outta here. My urethra is not for public entertainment.,But it is a good-time adjacent. Feed the kid a camera. Check his gut for angiodysplasia.,11,16
All right. If you could scoot down.,"Hey, I'm, uh, I'm missing a watch. So can you keep your eyes open while",7,15
Imaging showed no sign of upper GI issues. But the kid did admit to being depressed and to smoking pot to take the edge off.,"You are very pleased with yourself, aren't you?",25,8
"His marijuana could be laced with formaldehyde or lead, which could cause a pulmonary hemorrhage which could make him spit up blood. Yes. Yes, I am. I thought it was a good catch.",Run a lead lEvel and push 5 liters IV fluid.,33,10
Feel free to tip your other server.,Cystoscopy was clean. Cytopathology was normal.,7,6
Why do you have my lab results?,"I don't. If I did, I'd know you were fine.",7,10
Unless the blood came from my kidneys.,"Come on. Your hypochondriac mom had a brush with mortality last month, and it's understandable that you're worrying more than usual, worrying that you might turn into her.",7,28
"You're right. Odds are, this is nothing.",Meet me in the cafeteria in ten. There'll be a corn dog with your name on it. I mean an actual corn dog. They fixed the deep fryer.,7,28
Mood swings can be a symptom of physiological illness.,I'm not talking to you.,9,5
"All that's in the, uh, First Mutual safety deposit box. The retirement accounts",You're freaking out because of one ultrasound performed by an incompetent Bonobo monkey.,13,13
As demonstrated by my sitting here calmly going about my business.,"Calling a Lawyer, drafting a will! Okay. I-I! hacked into your online schedule. Look, tests always show something. A mass in your kidney could be a complex cyst. It could be benign.",11,32
"I'm a single mom. I need to set up a trust, appoint a guardian. It's silly that I haven't done it before now.",But you're doing it now because you think you're sick. The freaking out can at least wait until after the biopsy this afternoon.,23,23
The biopsy's not till tomorrow. It's the first opening in the schedule.,"For the Dean of Medicine, the first opening in the schedule is! Oh, look! Now.",12,15
Mouth on that kid makes Mel Gibson sound like Nelson Mandela. Where'd she learn that?,"I don't know why you're here, but I didn't do it.",15,11
Are either of you this girl's father?,"Nope. But since her mom died, she's my favorite tax write-off. Officer, you have my word it won't happen again. 'Cause next time! she won't get caught!",7,27
I'm not sure. I think I just peed blood.,Looks like peeing blood is the new black.,9,8
"Kidney mass wouldn't explain the coughing blood or the hemorrhages. Antiphospholipid syndrome, on the other hand!",Makes sense. But doesn't rule out a mass.,16,8
Cuddy has a mass on her kidney?,It's pRobably just a complex cyst or angiomyolipoma.,7,8
And then you pointed out how sweet that was.,"If it were heroin, he'd be going through withdrawal. Antiphospholipid syndrome's a better fit. Start the Patient on plasmapheresis.",9,19
"While he's doing that, can I at least search his House for drugs?",Have I Ever said no to that question?,13,8
Have I Ever said no to that question?,What are you doing here?,8,5
"Okay. You've been worried that your relationship is getting in the way of your diagnoses, you're protecting your Patient. Either that or! you're an ass.",Three  I hate the smell of death.,25,8
The chances of Cuddy having renal cell carcinoma,"I'm talking about our relationship. She needs support and comfort, both things that I famously suck at. This will inevitably lead to",8,22
You know what's good for that? Practice. Doing it  I don't know  once?,I'm not gonna act like there's a crisis before we know there is one. There's no proof there's anything wrong with her.,15,22
